time in s,CH2 in V
-500.0000E-6,317.0E-3
-500.0000E-6,917.0E-3
-499.0000E-6,317.0E-3
-499.0000E-6,717.0E-3
-498.0000E-6,317.0E-3
-498.0000E-6,717.0E-3
-497.0000E-6,317.0E-3
-497.0000E-6,917.0E-3
-496.0000E-6,117.0E-3
-496.0000E-6,717.0E-3
-495.0000E-6,317.0E-3
-495.0000E-6,717.0E-3
-493.9999E-6,317.0E-3
-493.9999E-6,917.0E-3
-492.9999E-6,317.0E-3
-492.9999E-6,717.0E-3
-491.9999E-6,317.0E-3
-491.9999E-6,917.0E-3
-490.9999E-6,117.0E-3
-490.9999E-6,717.0E-3
-489.9999E-6,317.0E-3
-489.9999E-6,917.0E-3
-488.9999E-6,317.0E-3
-488.9999E-6,717.0E-3
-487.9999E-6,117.0E-3
-487.9999E-6,717.0E-3
-486.9999E-6,317.0E-3
-486.9999E-6,717.0E-3
-485.9999E-6,317.0E-3
-485.9999E-6,717.0E-3
-484.9999E-6,317.0E-3
-484.9999E-6,717.0E-3
-483.9999E-6,317.0E-3
-483.9999E-6,717.0E-3
-482.9999E-6,317.0E-3
-482.9999E-6,717.0E-3
-481.9999E-6,317.0E-3
-481.9999E-6,717.0E-3
-480.9998E-6,317.0E-3
-480.9998E-6,717.0E-3
-479.9998E-6,317.0E-3
-479.9998E-6,717.0E-3
-478.9998E-6,317.0E-3
-478.9998E-6,717.0E-3
-477.9998E-6,317.0E-3
-477.9998E-6,717.0E-3
-476.9998E-6,317.0E-3
-476.9998E-6,717.0E-3
-475.9998E-6,317.0E-3
-475.9998E-6,717.0E-3
-474.9998E-6,317.0E-3
-474.9998E-6,717.0E-3
-473.9998E-6,317.0E-3
-473.9998E-6,717.0E-3
-472.9998E-6,317.0E-3
-472.9998E-6,717.0E-3
-471.9998E-6,117.0E-3
-471.9998E-6,717.0E-3
-470.9998E-6,317.0E-3
-470.9998E-6,717.0E-3
-469.9998E-6,317.0E-3
-469.9998E-6,917.0E-3
-468.9998E-6,117.0E-3
-468.9998E-6,717.0E-3
-467.9997E-6,317.0E-3
-467.9997E-6,717.0E-3
-466.9997E-6,317.0E-3
-466.9997E-6,717.0E-3
-465.9997E-6,317.0E-3
-465.9997E-6,717.0E-3
-464.9997E-6,317.0E-3
-464.9997E-6,717.0E-3
-463.9997E-6,317.0E-3
-463.9997E-6,917.0E-3
-462.9997E-6,317.0E-3
-462.9997E-6,717.0E-3
-461.9997E-6,317.0E-3
-461.9997E-6,717.0E-3
-460.9997E-6,-9.683
-460.9997E-6,717.0E-3
-459.9997E-6,-9.483
-459.9997E-6,-8.883
-458.9997E-6,-9.483
-458.9997E-6,-8.883
-457.9997E-6,-9.283
-457.9997E-6,-8.883
-456.9997E-6,-9.283
-456.9997E-6,-8.683
-455.9997E-6,-9.283
-455.9997E-6,-8.683
-454.9996E-6,-9.083
-454.9996E-6,-8.483
-453.9996E-6,-9.083
-453.9996E-6,-8.483
-452.9996E-6,-8.883
-452.9996E-6,-8.483
-451.9996E-6,-8.883
-451.9996E-6,-8.283
-450.9996E-6,-8.683
-450.9996E-6,-8.283
-449.9996E-6,-8.683
-449.9996E-6,-8.083
-448.9996E-6,-8.483
-448.9996E-6,-8.083
-447.9996E-6,-8.683
-447.9996E-6,-7.883
-446.9996E-6,-8.483
-446.9996E-6,-7.883
-445.9996E-6,-8.283
-445.9996E-6,-7.683
-444.9996E-6,-8.283
-444.9996E-6,-7.683
-443.9996E-6,-8.283
-443.9996E-6,-7.683
-442.9996E-6,-8.083
-442.9996E-6,-7.483
-441.9995E-6,-8.083
-441.9995E-6,-7.483
-440.9995E-6,-7.883
-440.9995E-6,-7.483
-439.9995E-6,-7.883
-439.9995E-6,-7.283
-438.9995E-6,-7.683
-438.9995E-6,-7.083
-437.9995E-6,-7.683
-437.9995E-6,-7.083
-436.9995E-6,-7.683
-436.9995E-6,-7.083
-435.9995E-6,-7.683
-435.9995E-6,-7.083
-434.9995E-6,-7.483
-434.9995E-6,-6.883
-433.9995E-6,-7.483
-433.9995E-6,-6.883
-433.0000E-6,-7.283
-433.0000E-6,-6.883
-432.0000E-6,-7.283
-432.0000E-6,-6.683
-431.0000E-6,-7.083
-431.0000E-6,-6.483
-430.0000E-6,-7.083
-430.0000E-6,-6.683
-429.0000E-6,-7.083
-429.0000E-6,-6.483
-428.0000E-6,-6.883
-428.0000E-6,-6.483
-427.0000E-6,-6.883
-427.0000E-6,-6.283
-426.0000E-6,-6.683
-426.0000E-6,-6.283
-424.9999E-6,-6.683
-424.9999E-6,-6.083
-423.9999E-6,-6.683
-423.9999E-6,-6.083
-422.9999E-6,-6.683
-422.9999E-6,-6.083
-421.9999E-6,-6.483
-421.9999E-6,-5.883
-420.9999E-6,-6.483
-420.9999E-6,-5.883
-419.9999E-6,-6.283
-419.9999E-6,-5.883
-418.9999E-6,-6.283
-418.9999E-6,-5.683
-417.9999E-6,-6.283
