time in s,CH2 in V
-250.0000E-6,-1.146
-250.0000E-6,-1.106
-249.5000E-6,-1.146
-249.5000E-6,-1.086
-249.0000E-6,-1.146
-249.0000E-6,-1.086
-248.5000E-6,-1.126
-248.5000E-6,-1.086
-248.0000E-6,-1.126
-248.0000E-6,-1.066
-247.5000E-6,-1.106
-247.5000E-6,-1.066
-247.0000E-6,-1.106
-247.0000E-6,-1.066
-246.5000E-6,-1.106
-246.5000E-6,-1.066
-246.0000E-6,-1.106
-246.0000E-6,-1.046
-245.5000E-6,-1.086
-245.5000E-6,-1.046
-245.0000E-6,-1.086
-245.0000E-6,-1.026
-244.5000E-6,-1.066
-244.5000E-6,-1.026
-243.9999E-6,-1.066
-243.9999E-6,-1.006
-243.4999E-6,-1.066
-243.4999E-6,-1.006
-242.9999E-6,-1.066
-242.9999E-6,-1.006
-242.4999E-6,-1.046
-242.4999E-6,-985.8E-3
-241.9999E-6,-1.046
-241.9999E-6,-985.8E-3
-241.4999E-6,-1.026
-241.4999E-6,-965.8E-3
-240.9999E-6,-1.026
-240.9999E-6,-965.8E-3
-240.4999E-6,-1.006
-240.4999E-6,-965.8E-3
-239.9999E-6,-1.006
-239.9999E-6,-945.8E-3
-239.4999E-6,-985.8E-3
-239.4999E-6,-945.8E-3
-238.9999E-6,-985.8E-3
-238.9999E-6,-925.8E-3
-238.4999E-6,-985.8E-3
-238.4999E-6,-925.8E-3
-237.9999E-6,-965.8E-3
-237.9999E-6,-925.8E-3
-237.4999E-6,-965.8E-3
-237.4999E-6,-905.8E-3
-236.9999E-6,-965.8E-3
-236.9999E-6,-905.8E-3
-236.4999E-6,-945.8E-3
-236.4999E-6,-885.8E-3
-235.9999E-6,-925.8E-3
-235.9999E-6,-885.8E-3
-235.4999E-6,-925.8E-3
-235.4999E-6,-885.8E-3
-234.9999E-6,-925.8E-3
-234.9999E-6,-865.8E-3
-234.4999E-6,-925.8E-3
-234.4999E-6,-865.8E-3
-233.9999E-6,-905.8E-3
-233.9999E-6,-865.8E-3
-233.4999E-6,-905.8E-3
-233.4999E-6,-845.8E-3
-232.9999E-6,-905.8E-3
-232.9999E-6,-845.8E-3
-232.4999E-6,-885.8E-3
-232.4999E-6,-825.8E-3
-231.9999E-6,-885.8E-3
-231.9999E-6,-825.8E-3
-231.4999E-6,-865.8E-3
-231.4999E-6,-825.8E-3
-230.9999E-6,-865.8E-3
-230.9999E-6,-825.8E-3
-230.4998E-6,-865.8E-3
-230.4998E-6,-805.8E-3
-229.9998E-6,-845.8E-3
-229.9998E-6,-805.8E-3
-229.4998E-6,-845.8E-3
-229.4998E-6,-805.8E-3
-228.9998E-6,-845.8E-3
-228.9998E-6,-785.8E-3
-228.4998E-6,-845.8E-3
-228.4998E-6,-785.8E-3
-227.9998E-6,-825.8E-3
-227.9998E-6,-785.8E-3
-227.4998E-6,-825.8E-3
-227.4998E-6,-785.8E-3
-226.9998E-6,-825.8E-3
-226.9998E-6,-765.8E-3
-226.4998E-6,-825.8E-3
-226.4998E-6,-765.8E-3
-225.9998E-6,-825.8E-3
-225.9998E-6,-765.8E-3
-225.4998E-6,-805.8E-3
-225.4998E-6,-765.8E-3
-224.9998E-6,-805.8E-3
-224.9998E-6,-745.8E-3
-224.4998E-6,-785.8E-3
-224.4998E-6,-745.8E-3
-223.9998E-6,-785.8E-3
-223.9998E-6,-745.8E-3
-223.4998E-6,-785.8E-3
-223.4998E-6,-725.8E-3
-222.9998E-6,-785.8E-3
-222.9998E-6,-725.8E-3
-222.4998E-6,-785.8E-3
-222.4998E-6,-725.8E-3
-221.9998E-6,-785.8E-3
-221.9998E-6,-725.8E-3
-221.4998E-6,-765.8E-3
-221.4998E-6,-725.8E-3
-220.9998E-6,-765.8E-3
-220.9998E-6,-725.8E-3
-220.4998E-6,-765.8E-3
-220.4998E-6,-725.8E-3
-219.9998E-6,-765.8E-3
-219.9998E-6,-705.8E-3
-219.4998E-6,-745.8E-3
-219.4998E-6,-705.8E-3
-218.9998E-6,-765.8E-3
-218.9998E-6,-705.8E-3
-218.4998E-6,-765.8E-3
-218.4998E-6,-705.8E-3
-218.0000E-6,-765.8E-3
-218.0000E-6,-705.8E-3
-217.5000E-6,-765.8E-3
-217.5000E-6,-705.8E-3
-217.0000E-6,-745.8E-3
-217.0000E-6,-705.8E-3
-216.5000E-6,-745.8E-3
-216.5000E-6,-685.8E-3
-216.0000E-6,-745.8E-3
-216.0000E-6,-685.8E-3
-215.5000E-6,-745.8E-3
-215.5000E-6,-685.8E-3
-215.0000E-6,-745.8E-3
-215.0000E-6,-705.8E-3
-214.5000E-6,-745.8E-3
-214.5000E-6,-685.8E-3
-214.0000E-6,-745.8E-3
-214.0000E-6,-705.8E-3
-213.5000E-6,-745.8E-3
-213.5000E-6,-685.8E-3
-213.0000E-6,-745.8E-3
-213.0000E-6,-705.8E-3
-212.5000E-6,-745.8E-3
-212.5000E-6,-705.8E-3
-212.0000E-6,-745.8E-3
-212.0000E-6,-705.8E-3
-211.4999E-6,-745.8E-3
-211.4999E-6,-705.8E-3
-210.9999E-6,-745.8E-3
-210.9999E-6,-685.8E-3
-210.4999E-6,-745.8E-3
-210.4999E-6,-685.8E-3
-209.9999E-6,-745.8E-3
-209.9999E-6,-685.8E-3
-209.4999E-6,-745.8E-3
-209.4999E-6,-685.8E-3
-208.9999E-6,-745.8E-3
-208.9999E-6,-705.8E-3
-208.4999E-6,-745.8E-3
-208.4999E-6,-705.8E-3
-207.9999E-6,-765.8E-3
-207.9999E-6,-705.8E-3
-207.4999E-6,-745.8E-3
-207.4999E-6,-705.8E-3
-206.9999E-6,-765.8E-3
-206.9999E-6,-705.8E-3
-206.4999E-6,-765.8E-3
-206.4999E-6,-705.8E-3
-205.9999E-6,-765.8E-3
-205.9999E-6,-705.8E-3
-205.4999E-6,-765.8E-3
-205.4999E-6,-705.8E-3
-204.9999E-6,-745.8E-3
-204.9999E-6,-725.8E-3
-204.4999E-6,-765.8E-3
-204.4999E-6,-705.8E-3
-203.9999E-6,-765.8E-3
-203.9999E-6,-705.8E-3
-203.4999E-6,-765.8E-3
-203.4999E-6,-725.8E-3
-202.9999E-6,-765.8E-3
-202.9999E-6,-725.8E-3
-202.4999E-6,-765.8E-3
-202.4999E-6,-725.8E-3
-201.9999E-6,-785.8E-3
-201.9999E-6,-725.8E-3
-201.4999E-6,-785.8E-3
-201.4999E-6,-725.8E-3
-200.9999E-6,-785.8E-3
-200.9999E-6,-745.8E-3
-200.4999E-6,-785.8E-3
-200.4999E-6,-725.8E-3
-199.9999E-6,-785.8E-3
-199.9999E-6,-745.8E-3
-199.4999E-6,-805.8E-3
-199.4999E-6,-745.8E-3
-198.9998E-6,-805.8E-3
-198.9998E-6,-745.8E-3
-198.4998E-6,-805.8E-3
-198.4998E-6,-765.8E-3
-197.9998E-6,-805.8E-3
-197.9998E-6,-765.8E-3
-197.4998E-6,-805.8E-3
-197.4998E-6,-765.8E-3
-196.9998E-6,-805.8E-3
-196.9998E-6,-765.8E-3
-196.4998E-6,-825.8E-3
-196.4998E-6,-765.8E-3
-195.9998E-6,-825.8E-3
-195.9998E-6,-785.8E-3
-195.4998E-6,-825.8E-3
-195.4998E-6,-765.8E-3
-194.9998E-6,-825.8E-3
-194.9998E-6,-785.8E-3
-194.4998E-6,-825.8E-3
-194.4998E-6,-785.8E-3
-193.9998E-6,-845.8E-3
-193.9998E-6,-785.8E-3
-193.4998E-6,-845.8E-3
-193.4998E-6,-785.8E-3
-192.9998E-6,-845.8E-3
-192.9998E-6,-805.8E-3
-192.4998E-6,-865.8E-3
-192.4998E-6,-805.8E-3
-191.9998E-6,-845.8E-3
-191.9998E-6,-805.8E-3
-191.4998E-6,-865.8E-3
-191.4998E-6,-825.8E-3
-190.9998E-6,-865.8E-3
-190.9998E-6,-825.8E-3
-190.4998E-6,-885.8E-3
-190.4998E-6,-825.8E-3
-189.9998E-6,-885.8E-3
-189.9998E-6,-825.8E-3
-189.4998E-6,-885.8E-3
-189.4998E-6,-825.8E-3
-188.9998E-6,-885.8E-3
-188.9998E-6,-825.8E-3
-188.4998E-6,-885.8E-3
-188.4998E-6,-845.8E-3
-187.9998E-6,-885.8E-3
-187.9998E-6,-845.8E-3
-187.4998E-6,-905.8E-3
