#f in kHz	Ω	Û_a in V
1.	.098	.905
1.5	.1481	.83
2.	.197	.745
2.5	.2469	.68
3.	.2692	.59
3.5	.345	.516
4.	.395	.454
4.5	.444	.398
5.	.4938	.345
5.5	.5432	.299
6.	.5925	.254
6.5	.64197	.216
7.	.6913	.178
7.5	.7407	.145
8.	.7901	.114
8.5	.839	.0845
9.	.888	.057
#9.5	.938	.0895
9.6	.9481	.0234
9.7	.95801	.019
9.8	.9678	.013
9.9	.9777	.0089
10.	.9876	.0046
10.1	.99752	.002
10.2	1.0074	.0058
10.3	1.0172	.01
10.4	1.0271	.0147
10.5	1.037	.0187
11.	1.086	.0412
12.	1.185	.084
13.	1.283	.118
14.	1.3827	.156
15.	1.481	.190
20.	1.975	.326
25.	2.4691	.434
30.	2.9629	.506
40.	3.95	.630
50.	4.938	.712
60.	5.925	.75
100.	9.8764	.848

# Zeitkonstante R*C=1.57*10^(-5)s
# f_0=10.125kHz
# Û_e=1V
